field,type,unit,source,description
sample_id,int,adimensional,entrada,"Identificador único de amostra"
cell_id,str,adimensional,entrada,"Identificador de célula (preservado)"
cycle_id,int,adimensional,entrada,"Identificador de ciclo (preservado)"
timestamp_s,float,segundos,entrada,"Tempo absoluto (preservado)"
elapsed_time_s,float,segundos,entrada,"Tempo relativo (preservado)"
voltage_v,float,Volts,entrada,"Tensão (preservada)"
current_ma,float,miliAmperes,entrada,"Corrente (preservada)"
temperature_c,float,Celsius,entrada,"Temperatura (preservada)"
soc_method_b,float,"adimensional [0,1]",entrada,"SOC Method B (preservado, não usado)"
soc_q_cycle,float,"adimensional [0,1]",entrada,"SOC por ciclo (preservado, não usado)"
delta_voltage,float,Volts,computed,"Diferença de tensão vs amostra anterior"
delta_current,float,miliAmperes,computed,"Diferença de corrente vs amostra anterior"
delta_temperature,float,Celsius,computed,"Diferença de temperatura vs amostra anterior"
dt_s,float,segundos,computed,"Diferença de tempo vs amostra anterior"
voltage_slope_v_per_s,float,Volts/segundo,computed,"Taxa de mudança de tensão"
current_slope_ma_per_s,float,miliAmperes/segundo,computed,"Taxa de mudança de corrente"
temperature_slope_c_per_s,float,Celsius/segundo,computed,"Taxa de mudança de temperatura"
charge_increment_ah,float,Ampere-horas,computed,"Incremento de carga em janela (abs)"
cumulative_charge_ah,float,Ampere-horas,computed,"Carga acumulada desde início do ciclo"
energy_increment_wh,float,Watt-horas,computed,"Incremento de energia em janela (abs)"
cumulative_energy_wh,float,Watt-horas,computed,"Energia acumulada desde início do ciclo"
rolling_voltage_mean,float,Volts,computed,"Média móvel de tensão (janela causal)"
rolling_voltage_std,float,Volts,computed,"Desvio padrão móvel de tensão"
rolling_voltage_min,float,Volts,computed,"Mínimo móvel de tensão"
rolling_voltage_max,float,Volts,computed,"Máximo móvel de tensão"
rolling_voltage_skew,float,adimensional,computed,"Assimetria móvel de tensão"
rolling_current_mean,float,miliAmperes,computed,"Média móvel de corrente"
rolling_current_std,float,miliAmperes,computed,"Desvio padrão móvel de corrente"
rolling_current_min,float,miliAmperes,computed,"Mínimo móvel de corrente"
rolling_current_max,float,miliAmperes,computed,"Máximo móvel de corrente"
rolling_current_skew,float,adimensional,computed,"Assimetria móvel de corrente"
rolling_temperature_mean,float,Celsius,computed,"Média móvel de temperatura"
rolling_temperature_std,float,Celsius,computed,"Desvio padrão móvel de temperatura"
rolling_temperature_min,float,Celsius,computed,"Mínimo móvel de temperatura"
rolling_temperature_max,float,Celsius,computed,"Máximo móvel de temperatura"
rolling_temperature_skew,float,adimensional,computed,"Assimetria móvel de temperatura"
