sample_id,mode,soc_raw_model,soc_clipped_reference,is_saturated,saturation_reason,source,acceptance_criterion,mae_threshold
iot_0026,EXTENDED,0.12217683,0.12217683,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0027,EXTENDED,0.71391428,0.71391428,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0028,EXTENDED,0.73425886,0.73425886,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0029,EXTENDED,0.75526064,0.75526064,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0030,EXTENDED,0.52294825,0.52294825,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0031,EXTENDED,0.86918646,0.86918646,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0032,EXTENDED,0.45187766,0.45187766,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0033,EXTENDED,0.69912867,0.69912867,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0034,EXTENDED,0.06433432,0.06433432,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0035,EXTENDED,0.20716275,0.20716275,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0036,EXTENDED,0.87920893,0.87920893,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0037,EXTENDED,0.62785716,0.62785716,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0038,EXTENDED,0.87060229,0.87060229,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0039,EXTENDED,0.73122999,0.73122999,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0040,EXTENDED,0.4193185,0.4193185,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0041,EXTENDED,0.82641206,0.82641206,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0042,EXTENDED,0.49078036,0.49078036,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0043,EXTENDED,0.23491873,0.23491873,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0044,EXTENDED,0.52851021,0.52851021,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0045,EXTENDED,0.51292764,0.51292764,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0046,EXTENDED,-0.01189043,0.0,1,model_output_below_0,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0047,EXTENDED,0.08713865,0.08713865,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0048,EXTENDED,0.80163692,0.80163692,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0049,EXTENDED,0.40608172,0.40608172,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0050,EXTENDED,0.27433403,0.27433403,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0051,EXTENDED,0.78362078,0.78362078,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0052,EXTENDED,0.30762816,0.30762816,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0053,EXTENDED,0.00474485,0.00474485,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0054,EXTENDED,0.20057744,0.20057744,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0055,EXTENDED,0.9812521,0.9812521,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0056,EXTENDED,0.23011572,0.23011572,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0057,EXTENDED,0.85953561,0.85953561,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0058,EXTENDED,0.53256443,0.53256443,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0059,EXTENDED,0.4199334,0.4199334,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0060,EXTENDED,0.80396957,0.80396957,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0061,EXTENDED,0.96801096,0.96801096,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0062,EXTENDED,0.80269804,0.80269804,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0063,EXTENDED,0.38305637,0.38305637,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0064,EXTENDED,0.84137377,0.84137377,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0065,EXTENDED,0.45528962,0.45528962,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0066,EXTENDED,0.60814603,0.60814603,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0067,EXTENDED,0.61261873,0.61261873,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0068,EXTENDED,0.70637585,0.70637585,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0069,EXTENDED,0.85345606,0.85345606,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0070,EXTENDED,0.30955344,0.30955344,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0071,EXTENDED,0.21472378,0.21472378,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0072,EXTENDED,0.71508699,0.71508699,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0073,EXTENDED,0.11367018,0.11367018,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0074,EXTENDED,-0.01627477,0.0,1,model_output_below_0,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0075,EXTENDED,0.27043949,0.27043949,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0076,EXTENDED,0.0985176,0.0985176,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0077,EXTENDED,0.47082174,0.47082174,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0078,EXTENDED,0.34123898,0.34123898,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0079,EXTENDED,0.81405695,0.81405695,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0080,EXTENDED,0.24881909,0.24881909,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0081,EXTENDED,0.00084596,0.00084596,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0082,EXTENDED,0.68416267,0.68416267,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0083,EXTENDED,0.77381244,0.77381244,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0084,EXTENDED,0.27639174,0.27639174,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0085,EXTENDED,0.2197804,0.2197804,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0086,EXTENDED,0.3807292,0.3807292,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0087,EXTENDED,0.04230252,0.04230252,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0088,EXTENDED,0.58641299,0.58641299,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0089,EXTENDED,0.61127089,0.61127089,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0090,EXTENDED,0.88967876,0.88967876,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0091,EXTENDED,0.60823615,0.60823615,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0092,EXTENDED,0.43097641,0.43097641,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0093,EXTENDED,0.38401267,0.38401267,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0094,EXTENDED,0.69920364,0.69920364,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0095,EXTENDED,0.63670104,0.63670104,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0096,EXTENDED,0.23612603,0.23612603,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0097,EXTENDED,0.57934112,0.57934112,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0098,EXTENDED,0.16111736,0.16111736,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0099,EXTENDED,0.88270203,0.88270203,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
