sample_id,mode,soc_raw_model,soc_clipped_reference,is_saturated,saturation_reason,source,acceptance_criterion,mae_threshold
gv_01,EXTENDED,0.20849036,0.20849036,0,NONE,canonical_golden_vectors,soc_clipped_reference,0.001
gv_02,EXTENDED,0.9252088,0.9252088,0,NONE,canonical_golden_vectors,soc_clipped_reference,0.001
gv_03,EXTENDED,0.85452135,0.85452135,0,NONE,canonical_golden_vectors,soc_clipped_reference,0.001
gv_04,EXTENDED,0.80938605,0.80938605,0,NONE,canonical_golden_vectors,soc_clipped_reference,0.001
gv_05,EXTENDED,0.56388493,0.56388493,0,NONE,canonical_golden_vectors,soc_clipped_reference,0.001
gv_06,EXTENDED,1.14829584,1.0,1,model_output_above_1,canonical_golden_vectors,soc_clipped_reference,0.001
gv_07,EXTENDED,0.9455571,0.9455571,0,NONE,canonical_golden_vectors,soc_clipped_reference,0.001
gv_08,EXTENDED,0.72120316,0.72120316,0,NONE,canonical_golden_vectors,soc_clipped_reference,0.001
gv_09,EXTENDED,0.69775759,0.69775759,0,NONE,canonical_golden_vectors,soc_clipped_reference,0.001
gv_10,EXTENDED,0.58844559,0.58844559,0,NONE,canonical_golden_vectors,soc_clipped_reference,0.001
gv_11,EXTENDED,0.7605062,0.7605062,0,NONE,canonical_golden_vectors,soc_clipped_reference,0.001
gv_12,EXTENDED,0.50720861,0.50720861,0,NONE,canonical_golden_vectors,soc_clipped_reference,0.001
gv_13,EXTENDED,0.68933806,0.68933806,0,NONE,canonical_golden_vectors,soc_clipped_reference,0.001
gv_14,EXTENDED,0.85807403,0.85807403,0,NONE,canonical_golden_vectors,soc_clipped_reference,0.001
gv_15,EXTENDED,0.83557006,0.83557006,0,NONE,canonical_golden_vectors,soc_clipped_reference,0.001
gv_16,EXTENDED,0.74186782,0.74186782,0,NONE,canonical_golden_vectors,soc_clipped_reference,0.001
gv_17,EXTENDED,1.05824279,1.0,1,model_output_above_1,canonical_golden_vectors,soc_clipped_reference,0.001
gv_18,EXTENDED,0.74888651,0.74888651,0,NONE,canonical_golden_vectors,soc_clipped_reference,0.001
gv_19,EXTENDED,1.04627404,1.0,1,model_output_above_1,canonical_golden_vectors,soc_clipped_reference,0.001
gv_20,EXTENDED,0.18677466,0.18677466,0,NONE,canonical_golden_vectors,soc_clipped_reference,0.001
iot_0000,EXTENDED,0.15533014,0.15533014,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0001,EXTENDED,0.40202747,0.40202747,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0002,EXTENDED,0.38515062,0.38515062,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0003,EXTENDED,0.62934232,0.62934232,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0004,EXTENDED,0.88102205,0.88102205,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0005,EXTENDED,0.25004339,0.25004339,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0006,EXTENDED,0.33160275,0.33160275,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0007,EXTENDED,0.18945098,0.18945098,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0008,EXTENDED,0.8523842,0.8523842,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0009,EXTENDED,-0.00126228,0.0,1,model_output_below_0,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0010,EXTENDED,0.32503689,0.32503689,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0011,EXTENDED,0.52399589,0.52399589,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0012,EXTENDED,0.62218221,0.62218221,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0013,EXTENDED,0.00868512,0.00868512,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0014,EXTENDED,0.55963835,0.55963835,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0015,EXTENDED,0.70368501,0.70368501,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0016,EXTENDED,0.41340442,0.41340442,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0017,EXTENDED,0.8158731,0.8158731,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0018,EXTENDED,0.72744659,0.72744659,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0019,EXTENDED,0.16108461,0.16108461,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0020,EXTENDED,0.27847136,0.27847136,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0021,EXTENDED,0.43708057,0.43708057,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0022,EXTENDED,0.83894416,0.83894416,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0023,EXTENDED,0.12278022,0.12278022,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0024,EXTENDED,0.31287333,0.31287333,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
iot_0025,EXTENDED,0.09359281,0.09359281,0,NONE,real_iot_validation_inputs,soc_clipped_reference,0.001
