sample_id,mode,soc_final,soc_clipped_reference,is_saturated,inference_time_ms,anomaly_flag,anomaly_code,status,abs_diff,row_status
0,GOLDEN,0.208489,0.20849036,0,0.79,0,0,PASS,1.360000000005801e-06,PASS
1,GOLDEN,0.92521,0.9252088,0,0.131,0,0,PASS,1.1999999999234845e-06,PASS
2,GOLDEN,0.854523,0.85452135,0,0.133,0,0,PASS,1.6500000000752024e-06,PASS
3,GOLDEN,0.809386,0.80938605,0,0.131,0,0,PASS,4.9999999918171056e-08,PASS
4,GOLDEN,0.563885,0.56388493,0,0.132,0,0,PASS,7.000000001866624e-08,PASS
5,GOLDEN,1.0,1.0,1,0.13,0,0,PASS,0.0,PASS
6,GOLDEN,0.945556,0.9455571,0,0.132,0,0,PASS,1.1000000000871424e-06,PASS
7,GOLDEN,0.721204,0.72120316,0,0.13,0,0,PASS,8.400000000019503e-07,PASS
8,GOLDEN,0.69776,0.69775759,0,0.132,0,0,PASS,2.410000000008239e-06,PASS
9,GOLDEN,0.588445,0.58844559,0,0.13,0,0,PASS,5.899999999670058e-07,PASS
10,GOLDEN,0.760507,0.7605062,0,0.132,0,0,PASS,8.000000000230045e-07,PASS
11,GOLDEN,0.507209,0.50720861,0,0.13,0,0,PASS,3.90000000072277e-07,PASS
12,GOLDEN,0.689336,0.68933806,0,0.132,0,0,PASS,2.06000000002593e-06,PASS
13,GOLDEN,0.858075,0.85807403,0,0.13,0,0,PASS,9.699999999890352e-07,PASS
14,GOLDEN,0.83557,0.83557006,0,0.132,0,0,PASS,5.999999996841865e-08,PASS
15,GOLDEN,0.741868,0.74186782,0,0.13,0,0,PASS,1.8000000001627825e-07,PASS
16,GOLDEN,1.0,1.0,1,0.132,0,0,PASS,0.0,PASS
17,GOLDEN,0.748886,0.74888651,0,0.13,0,0,PASS,5.09999999898092e-07,PASS
18,GOLDEN,1.0,1.0,1,0.132,0,0,PASS,0.0,PASS
19,GOLDEN,0.186775,0.18677466,0,0.13,0,0,PASS,3.3999999998757247e-07,PASS
