sample_id,mode,soc_final,soc_clipped_reference,is_saturated,inference_time_ms,anomaly_flag,status,abs_diff,row_status
0,EXTENDED,0.208489,0.20849036,0,0.788,0,PASS,1.360000000005801e-06,PASS
1,EXTENDED,0.92521,0.9252088,0,0.134,0,PASS,1.1999999999234845e-06,PASS
2,EXTENDED,0.854523,0.85452135,0,0.13,0,PASS,1.6500000000752024e-06,PASS
3,EXTENDED,0.809386,0.80938605,0,0.128,0,PASS,4.9999999918171056e-08,PASS
4,EXTENDED,0.563885,0.56388493,0,0.13,0,PASS,7.000000001866624e-08,PASS
5,EXTENDED,1.0,1.0,1,0.128,0,WARN_SAT,0.0,WARN_SAT
6,EXTENDED,0.945556,0.9455571,0,0.13,0,PASS,1.1000000000871424e-06,PASS
7,EXTENDED,0.721204,0.72120316,0,0.128,0,PASS,8.400000000019503e-07,PASS
8,EXTENDED,0.69776,0.69775759,0,0.13,0,PASS,2.410000000008239e-06,PASS
9,EXTENDED,0.588445,0.58844559,0,0.128,0,PASS,5.899999999670058e-07,PASS
10,EXTENDED,0.760507,0.7605062,0,0.13,0,PASS,8.000000000230045e-07,PASS
11,EXTENDED,0.507209,0.50720861,0,0.128,0,PASS,3.90000000072277e-07,PASS
12,EXTENDED,0.689336,0.68933806,0,0.13,0,PASS,2.06000000002593e-06,PASS
13,EXTENDED,0.858075,0.85807403,0,0.128,0,PASS,9.699999999890352e-07,PASS
14,EXTENDED,0.83557,0.83557006,0,0.13,0,PASS,5.999999996841865e-08,PASS
15,EXTENDED,0.741868,0.74186782,0,0.128,0,PASS,1.8000000001627825e-07,PASS
16,EXTENDED,1.0,1.0,1,0.13,0,WARN_SAT,0.0,WARN_SAT
17,EXTENDED,0.748886,0.74888651,0,0.128,0,PASS,5.09999999898092e-07,PASS
18,EXTENDED,1.0,1.0,1,0.13,0,WARN_SAT,0.0,WARN_SAT
19,EXTENDED,0.186775,0.18677466,0,0.128,0,PASS,3.3999999998757247e-07,PASS
20,EXTENDED,0.155331,0.15533014,0,0.13,0,PASS,8.599999999914232e-07,PASS
21,EXTENDED,0.402026,0.40202747,0,0.128,0,PASS,1.470000000003413e-06,PASS
22,EXTENDED,0.385151,0.38515062,0,0.13,0,PASS,3.800000000220294e-07,PASS
23,EXTENDED,0.629342,0.62934232,0,0.128,0,PASS,3.2000000005361073e-07,PASS
24,EXTENDED,0.881021,0.88102205,0,0.13,0,PASS,1.0499999999469267e-06,PASS
25,EXTENDED,0.250043,0.25004339,0,0.128,0,PASS,3.8999999996125467e-07,PASS
26,EXTENDED,0.331603,0.33160275,0,0.13,0,PASS,2.4999999997943334e-07,PASS
27,EXTENDED,0.18945,0.18945098,0,0.128,0,PASS,9.799999999837716e-07,PASS
28,EXTENDED,0.852384,0.8523842,0,0.13,0,PASS,2.0000000000575113e-07,PASS
29,EXTENDED,0.0,0.0,1,0.128,0,WARN_SAT,0.0,WARN_SAT
30,EXTENDED,0.325038,0.32503689,0,0.13,0,PASS,1.1099999999708565e-06,PASS
31,EXTENDED,0.523997,0.52399589,0,0.128,0,PASS,1.1100000000263677e-06,PASS
32,EXTENDED,0.622184,0.62218221,0,0.13,0,PASS,1.7900000000015126e-06,PASS
33,EXTENDED,0.008684,0.00868512,0,0.128,0,PASS,1.1199999999985527e-06,PASS
34,EXTENDED,0.559637,0.55963835,0,0.13,0,PASS,1.3499999999000423e-06,PASS
35,EXTENDED,0.703685,0.70368501,0,0.128,0,PASS,1.0000000050247593e-08,PASS
36,EXTENDED,0.413402,0.41340442,0,0.13,0,PASS,2.4200000000029753e-06,PASS
37,EXTENDED,0.815872,0.8158731,0,0.128,0,PASS,1.09999999997612e-06,PASS
38,EXTENDED,0.727449,0.72744659,0,0.13,0,PASS,2.410000000008239e-06,PASS
39,EXTENDED,0.161084,0.16108461,0,0.128,0,PASS,6.099999999842343e-07,PASS
40,EXTENDED,0.278472,0.27847136,0,0.13,0,PASS,6.399999999961992e-07,PASS
41,EXTENDED,0.437084,0.43708057,0,0.128,0,PASS,3.4299999999709563e-06,PASS
42,EXTENDED,0.838944,0.83894416,0,0.13,0,PASS,1.6000000002680537e-07,PASS
43,EXTENDED,0.122779,0.12278022,0,0.128,0,PASS,1.219999999996224e-06,PASS
44,EXTENDED,0.31288,0.31287333,0,0.13,0,PASS,6.669999999986409e-06,PASS
45,EXTENDED,0.093591,0.09359281,0,0.128,0,PASS,1.8100000000048633e-06,PASS
46,EXTENDED,0.122177,0.12217683,0,0.13,0,PASS,1.6999999999378623e-07,PASS
47,EXTENDED,0.713914,0.71391428,0,0.128,0,PASS,2.7999999996364267e-07,PASS
48,EXTENDED,0.734258,0.73425886,0,0.13,0,PASS,8.599999999914232e-07,PASS
49,EXTENDED,0.755269,0.75526064,0,0.128,0,PASS,8.359999999929535e-06,PASS
50,EXTENDED,0.52295,0.52294825,0,0.13,0,PASS,1.7500000000225668e-06,PASS
51,EXTENDED,0.869186,0.86918646,0,0.128,0,PASS,4.599999999799209e-07,PASS
52,EXTENDED,0.451879,0.45187766,0,0.13,0,PASS,1.339999999960817e-06,PASS
53,EXTENDED,0.699129,0.69912867,0,0.128,0,PASS,3.29999999992836e-07,PASS
54,EXTENDED,0.064332,0.06433432,0,0.13,0,PASS,2.3200000000000998e-06,PASS
55,EXTENDED,0.207164,0.20716275,0,0.128,0,PASS,1.2499999999804334e-06,PASS
56,EXTENDED,0.87921,0.87920893,0,0.13,0,PASS,1.070000000047422e-06,PASS
57,EXTENDED,0.627856,0.62785716,0,0.128,0,PASS,1.160000000055561e-06,PASS
58,EXTENDED,0.870602,0.87060229,0,0.13,0,PASS,2.9000000001389026e-07,PASS
59,EXTENDED,0.731232,0.73122999,0,0.128,0,PASS,2.0099999999967366e-06,PASS
60,EXTENDED,0.419319,0.4193185,0,0.13,0,PASS,5.000000000143778e-07,PASS
