sample_id,mode,soc_final,soc_clipped_reference,is_saturated,inference_time_ms,anomaly_flag,status,abs_diff,row_status
61,EXTENDED,0.826412,0.82641206,0,0.128,0,PASS,5.999999996841865e-08,PASS
62,EXTENDED,0.490778,0.49078036,0,0.13,0,PASS,2.3600000000345567e-06,PASS
63,EXTENDED,0.234918,0.23491873,0,0.128,0,PASS,7.300000000043383e-07,PASS
64,EXTENDED,0.528509,0.52851021,0,0.13,0,PASS,1.209999999973732e-06,PASS
65,EXTENDED,0.512926,0.51292764,0,0.128,0,PASS,1.6400000000249548e-06,PASS
66,EXTENDED,0.0,0.0,1,0.13,0,WARN_SAT,0.0,WARN_SAT
67,EXTENDED,0.087142,0.08713865,0,0.128,0,PASS,3.349999999999187e-06,PASS
68,EXTENDED,0.801637,0.80163692,0,0.13,0,PASS,8.000000006891383e-08,PASS
69,EXTENDED,0.40608,0.40608172,0,0.128,0,PASS,1.7199999999828464e-06,PASS
70,EXTENDED,0.274332,0.27433403,0,0.13,0,PASS,2.0299999999862095e-06,PASS
71,EXTENDED,0.783621,0.78362078,0,0.128,0,PASS,2.1999999999522402e-07,PASS
72,EXTENDED,0.30763,0.30762816,0,0.13,0,PASS,1.840000000030706e-06,PASS
73,EXTENDED,0.004743,0.00474485,0,0.128,0,PASS,1.850000000000289e-06,PASS
74,EXTENDED,0.200575,0.20057744,0,0.13,0,PASS,2.439999999992448e-06,PASS
75,EXTENDED,0.981253,0.9812521,0,0.128,0,PASS,9.000000000813912e-07,PASS
76,EXTENDED,0.230116,0.23011572,0,0.13,0,PASS,2.7999999999139824e-07,PASS
77,EXTENDED,0.859535,0.85953561,0,0.128,0,PASS,6.099999999564787e-07,PASS
78,EXTENDED,0.532563,0.53256443,0,0.13,0,PASS,1.429999999968956e-06,PASS
79,EXTENDED,0.419934,0.4199334,0,0.128,0,PASS,5.999999999617422e-07,PASS
80,EXTENDED,0.803971,0.80396957,0,0.13,0,PASS,1.429999999968956e-06,PASS
81,EXTENDED,0.96801,0.96801096,0,0.128,0,PASS,9.599999999387876e-07,PASS
82,EXTENDED,0.802699,0.80269804,0,0.13,0,PASS,9.6000000004981e-07,PASS
83,EXTENDED,0.383054,0.38305637,0,0.128,0,PASS,2.369999999973782e-06,PASS
84,EXTENDED,0.841373,0.84137377,0,0.13,0,PASS,7.699999999832841e-07,PASS
85,EXTENDED,0.455288,0.45528962,0,0.128,0,PASS,1.6199999999799708e-06,PASS
86,EXTENDED,0.608146,0.60814603,0,0.13,0,PASS,3.0000000039720476e-08,PASS
87,EXTENDED,0.612618,0.61261873,0,0.128,0,PASS,7.300000000043383e-07,PASS
88,EXTENDED,0.706376,0.70637585,0,0.13,0,PASS,1.4999999997655777e-07,PASS
89,EXTENDED,0.853456,0.85345606,0,0.128,0,PASS,5.999999996841865e-08,PASS
90,EXTENDED,0.309553,0.30955344,0,0.13,0,PASS,4.3999999999044803e-07,PASS
91,EXTENDED,0.214722,0.21472378,0,0.128,0,PASS,1.7800000000067762e-06,PASS
92,EXTENDED,0.715087,0.71508699,0,0.13,0,PASS,1.0000000050247593e-08,PASS
93,EXTENDED,0.113671,0.11367018,0,0.128,0,PASS,8.199999999985996e-07,PASS
94,EXTENDED,0.0,0.0,1,0.13,0,WARN_SAT,0.0,WARN_SAT
95,EXTENDED,0.270438,0.27043949,0,0.128,0,PASS,1.489999999992886e-06,PASS
96,EXTENDED,0.098521,0.0985176,0,0.13,0,PASS,3.4000000000006247e-06,PASS
97,EXTENDED,0.470823,0.47082174,0,0.128,0,PASS,1.2600000000029254e-06,PASS
98,EXTENDED,0.341238,0.34123898,0,0.13,0,PASS,9.800000000392828e-07,PASS
99,EXTENDED,0.814059,0.81405695,0,0.128,0,PASS,2.0499999999756824e-06,PASS
100,EXTENDED,0.248817,0.24881909,0,0.13,0,PASS,2.0899999999823837e-06,PASS
101,EXTENDED,0.000846,0.00084596,0,0.128,0,PASS,3.999999999997929e-08,PASS
102,EXTENDED,0.684162,0.68416267,0,0.13,0,PASS,6.699999999248973e-07,PASS
103,EXTENDED,0.773814,0.77381244,0,0.128,0,PASS,1.559999999956041e-06,PASS
104,EXTENDED,0.276394,0.27639174,0,0.13,0,PASS,2.25999999997617e-06,PASS
105,EXTENDED,0.219782,0.2197804,0,0.128,0,PASS,1.6000000000182535e-06,PASS
106,EXTENDED,0.380727,0.3807292,0,0.13,0,PASS,2.2000000000077513e-06,PASS
107,EXTENDED,0.042301,0.04230252,0,0.128,0,PASS,1.5200000000048508e-06,PASS
108,EXTENDED,0.586412,0.58641299,0,0.13,0,PASS,9.89999999978508e-07,PASS
109,EXTENDED,0.611279,0.61127089,0,0.128,0,PASS,8.110000000005613e-06,PASS
110,EXTENDED,0.889679,0.88967876,0,0.13,0,PASS,2.399999999846969e-07,PASS
111,EXTENDED,0.608237,0.60823615,0,0.128,0,PASS,8.500000000521979e-07,PASS
112,EXTENDED,0.430977,0.43097641,0,0.13,0,PASS,5.90000000022517e-07,PASS
113,EXTENDED,0.384012,0.38401267,0,0.128,0,PASS,6.699999999804085e-07,PASS
114,EXTENDED,0.699206,0.69920364,0,0.13,0,PASS,2.3599999999790455e-06,PASS
115,EXTENDED,0.636701,0.63670104,0,0.128,0,PASS,4.000000008996807e-08,PASS
116,EXTENDED,0.236124,0.23612603,0,0.13,0,PASS,2.0299999999862095e-06,PASS
117,EXTENDED,0.579341,0.57934112,0,0.128,0,PASS,1.200000000478596e-07,PASS
118,EXTENDED,0.161122,0.16111736,0,0.13,0,PASS,4.6400000000001995e-06,PASS
119,EXTENDED,0.882701,0.88270203,0,0.128,0,PASS,1.0300000000684761e-06,PASS
