sample_id,mode,source,synthetic_or_real,soc_clipped_reference,is_saturated,saturation_reason,coverage_type
iot_0032,EXTENDED,real_iot_validation_inputs,real,0.45187766,0,NONE,mid_soc
iot_0033,EXTENDED,real_iot_validation_inputs,real,0.69912867,0,NONE,mid_soc
iot_0034,EXTENDED,real_iot_validation_inputs,real,0.06433432,0,NONE,low_soc
iot_0035,EXTENDED,real_iot_validation_inputs,real,0.20716275,0,NONE,low_soc
iot_0036,EXTENDED,real_iot_validation_inputs,real,0.87920893,0,NONE,high_soc
iot_0037,EXTENDED,real_iot_validation_inputs,real,0.62785716,0,NONE,mid_soc
iot_0038,EXTENDED,real_iot_validation_inputs,real,0.87060229,0,NONE,high_soc
iot_0039,EXTENDED,real_iot_validation_inputs,real,0.73122999,0,NONE,high_soc
iot_0040,EXTENDED,real_iot_validation_inputs,real,0.4193185,0,NONE,mid_soc
iot_0041,EXTENDED,real_iot_validation_inputs,real,0.82641206,0,NONE,high_soc
iot_0042,EXTENDED,real_iot_validation_inputs,real,0.49078036,0,NONE,mid_soc
iot_0043,EXTENDED,real_iot_validation_inputs,real,0.23491873,0,NONE,low_soc
iot_0044,EXTENDED,real_iot_validation_inputs,real,0.52851021,0,NONE,mid_soc
iot_0045,EXTENDED,real_iot_validation_inputs,real,0.51292764,0,NONE,mid_soc
iot_0046,EXTENDED,real_iot_validation_inputs,real,0.0,1,model_output_below_0,low_soc_saturation
iot_0047,EXTENDED,real_iot_validation_inputs,real,0.08713865,0,NONE,low_soc
iot_0048,EXTENDED,real_iot_validation_inputs,real,0.80163692,0,NONE,high_soc
iot_0049,EXTENDED,real_iot_validation_inputs,real,0.40608172,0,NONE,mid_soc
iot_0050,EXTENDED,real_iot_validation_inputs,real,0.27433403,0,NONE,low_soc
iot_0051,EXTENDED,real_iot_validation_inputs,real,0.78362078,0,NONE,high_soc
iot_0052,EXTENDED,real_iot_validation_inputs,real,0.30762816,0,NONE,mid_soc
iot_0053,EXTENDED,real_iot_validation_inputs,real,0.00474485,0,NONE,low_soc
iot_0054,EXTENDED,real_iot_validation_inputs,real,0.20057744,0,NONE,low_soc
iot_0055,EXTENDED,real_iot_validation_inputs,real,0.9812521,0,NONE,high_soc
iot_0056,EXTENDED,real_iot_validation_inputs,real,0.23011572,0,NONE,low_soc
iot_0057,EXTENDED,real_iot_validation_inputs,real,0.85953561,0,NONE,high_soc
iot_0058,EXTENDED,real_iot_validation_inputs,real,0.53256443,0,NONE,mid_soc
iot_0059,EXTENDED,real_iot_validation_inputs,real,0.4199334,0,NONE,mid_soc
iot_0060,EXTENDED,real_iot_validation_inputs,real,0.80396957,0,NONE,high_soc
iot_0061,EXTENDED,real_iot_validation_inputs,real,0.96801096,0,NONE,high_soc
iot_0062,EXTENDED,real_iot_validation_inputs,real,0.80269804,0,NONE,high_soc
iot_0063,EXTENDED,real_iot_validation_inputs,real,0.38305637,0,NONE,mid_soc
iot_0064,EXTENDED,real_iot_validation_inputs,real,0.84137377,0,NONE,high_soc
iot_0065,EXTENDED,real_iot_validation_inputs,real,0.45528962,0,NONE,mid_soc
iot_0066,EXTENDED,real_iot_validation_inputs,real,0.60814603,0,NONE,mid_soc
iot_0067,EXTENDED,real_iot_validation_inputs,real,0.61261873,0,NONE,mid_soc
iot_0068,EXTENDED,real_iot_validation_inputs,real,0.70637585,0,NONE,high_soc
iot_0069,EXTENDED,real_iot_validation_inputs,real,0.85345606,0,NONE,high_soc
iot_0070,EXTENDED,real_iot_validation_inputs,real,0.30955344,0,NONE,mid_soc
iot_0071,EXTENDED,real_iot_validation_inputs,real,0.21472378,0,NONE,low_soc
iot_0072,EXTENDED,real_iot_validation_inputs,real,0.71508699,0,NONE,high_soc
iot_0073,EXTENDED,real_iot_validation_inputs,real,0.11367018,0,NONE,low_soc
iot_0074,EXTENDED,real_iot_validation_inputs,real,0.0,1,model_output_below_0,low_soc_saturation
iot_0075,EXTENDED,real_iot_validation_inputs,real,0.27043949,0,NONE,low_soc
iot_0076,EXTENDED,real_iot_validation_inputs,real,0.0985176,0,NONE,low_soc
iot_0077,EXTENDED,real_iot_validation_inputs,real,0.47082174,0,NONE,mid_soc
iot_0078,EXTENDED,real_iot_validation_inputs,real,0.34123898,0,NONE,mid_soc
iot_0079,EXTENDED,real_iot_validation_inputs,real,0.81405695,0,NONE,high_soc
iot_0080,EXTENDED,real_iot_validation_inputs,real,0.24881909,0,NONE,low_soc
iot_0081,EXTENDED,real_iot_validation_inputs,real,0.00084596,0,NONE,low_soc
iot_0082,EXTENDED,real_iot_validation_inputs,real,0.68416267,0,NONE,mid_soc
iot_0083,EXTENDED,real_iot_validation_inputs,real,0.77381244,0,NONE,high_soc
iot_0084,EXTENDED,real_iot_validation_inputs,real,0.27639174,0,NONE,low_soc
iot_0085,EXTENDED,real_iot_validation_inputs,real,0.2197804,0,NONE,low_soc
iot_0086,EXTENDED,real_iot_validation_inputs,real,0.3807292,0,NONE,mid_soc
iot_0087,EXTENDED,real_iot_validation_inputs,real,0.04230252,0,NONE,low_soc
iot_0088,EXTENDED,real_iot_validation_inputs,real,0.58641299,0,NONE,mid_soc
iot_0089,EXTENDED,real_iot_validation_inputs,real,0.61127089,0,NONE,mid_soc
iot_0090,EXTENDED,real_iot_validation_inputs,real,0.88967876,0,NONE,high_soc
iot_0091,EXTENDED,real_iot_validation_inputs,real,0.60823615,0,NONE,mid_soc
iot_0092,EXTENDED,real_iot_validation_inputs,real,0.43097641,0,NONE,mid_soc
iot_0093,EXTENDED,real_iot_validation_inputs,real,0.38401267,0,NONE,mid_soc
iot_0094,EXTENDED,real_iot_validation_inputs,real,0.69920364,0,NONE,mid_soc
iot_0095,EXTENDED,real_iot_validation_inputs,real,0.63670104,0,NONE,mid_soc
iot_0096,EXTENDED,real_iot_validation_inputs,real,0.23612603,0,NONE,low_soc
iot_0097,EXTENDED,real_iot_validation_inputs,real,0.57934112,0,NONE,mid_soc
iot_0098,EXTENDED,real_iot_validation_inputs,real,0.16111736,0,NONE,low_soc
iot_0099,EXTENDED,real_iot_validation_inputs,real,0.88270203,0,NONE,high_soc
