sample_id,mode,source,synthetic_or_real,soc_clipped_reference,is_saturated,saturation_reason,coverage_type
gv_01,EXTENDED,canonical_golden_vectors,real,0.20849036,0,NONE,low_soc
gv_02,EXTENDED,canonical_golden_vectors,real,0.9252088,0,NONE,high_soc
gv_03,EXTENDED,canonical_golden_vectors,real,0.85452135,0,NONE,high_soc
gv_04,EXTENDED,canonical_golden_vectors,real,0.80938605,0,NONE,high_soc
gv_05,EXTENDED,canonical_golden_vectors,real,0.56388493,0,NONE,mid_soc
gv_06,EXTENDED,canonical_golden_vectors,real,1.0,1,model_output_above_1,high_soc_saturation
gv_07,EXTENDED,canonical_golden_vectors,real,0.9455571,0,NONE,high_soc
gv_08,EXTENDED,canonical_golden_vectors,real,0.72120316,0,NONE,high_soc
gv_09,EXTENDED,canonical_golden_vectors,real,0.69775759,0,NONE,mid_soc
gv_10,EXTENDED,canonical_golden_vectors,real,0.58844559,0,NONE,mid_soc
gv_11,EXTENDED,canonical_golden_vectors,real,0.7605062,0,NONE,high_soc
gv_12,EXTENDED,canonical_golden_vectors,real,0.50720861,0,NONE,mid_soc
gv_13,EXTENDED,canonical_golden_vectors,real,0.68933806,0,NONE,mid_soc
gv_14,EXTENDED,canonical_golden_vectors,real,0.85807403,0,NONE,high_soc
gv_15,EXTENDED,canonical_golden_vectors,real,0.83557006,0,NONE,high_soc
gv_16,EXTENDED,canonical_golden_vectors,real,0.74186782,0,NONE,high_soc
gv_17,EXTENDED,canonical_golden_vectors,real,1.0,1,model_output_above_1,high_soc_saturation
gv_18,EXTENDED,canonical_golden_vectors,real,0.74888651,0,NONE,high_soc
gv_19,EXTENDED,canonical_golden_vectors,real,1.0,1,model_output_above_1,high_soc_saturation
gv_20,EXTENDED,canonical_golden_vectors,real,0.18677466,0,NONE,low_soc
iot_0000,EXTENDED,real_iot_validation_inputs,real,0.15533014,0,NONE,low_soc
iot_0001,EXTENDED,real_iot_validation_inputs,real,0.40202747,0,NONE,mid_soc
iot_0002,EXTENDED,real_iot_validation_inputs,real,0.38515062,0,NONE,mid_soc
iot_0003,EXTENDED,real_iot_validation_inputs,real,0.62934232,0,NONE,mid_soc
iot_0004,EXTENDED,real_iot_validation_inputs,real,0.88102205,0,NONE,high_soc
iot_0005,EXTENDED,real_iot_validation_inputs,real,0.25004339,0,NONE,low_soc
iot_0006,EXTENDED,real_iot_validation_inputs,real,0.33160275,0,NONE,mid_soc
iot_0007,EXTENDED,real_iot_validation_inputs,real,0.18945098,0,NONE,low_soc
iot_0008,EXTENDED,real_iot_validation_inputs,real,0.8523842,0,NONE,high_soc
iot_0009,EXTENDED,real_iot_validation_inputs,real,0.0,1,model_output_below_0,low_soc_saturation
iot_0010,EXTENDED,real_iot_validation_inputs,real,0.32503689,0,NONE,mid_soc
iot_0011,EXTENDED,real_iot_validation_inputs,real,0.52399589,0,NONE,mid_soc
iot_0012,EXTENDED,real_iot_validation_inputs,real,0.62218221,0,NONE,mid_soc
iot_0013,EXTENDED,real_iot_validation_inputs,real,0.00868512,0,NONE,low_soc
iot_0014,EXTENDED,real_iot_validation_inputs,real,0.55963835,0,NONE,mid_soc
iot_0015,EXTENDED,real_iot_validation_inputs,real,0.70368501,0,NONE,high_soc
iot_0016,EXTENDED,real_iot_validation_inputs,real,0.41340442,0,NONE,mid_soc
iot_0017,EXTENDED,real_iot_validation_inputs,real,0.8158731,0,NONE,high_soc
iot_0018,EXTENDED,real_iot_validation_inputs,real,0.72744659,0,NONE,high_soc
iot_0019,EXTENDED,real_iot_validation_inputs,real,0.16108461,0,NONE,low_soc
iot_0020,EXTENDED,real_iot_validation_inputs,real,0.27847136,0,NONE,low_soc
iot_0021,EXTENDED,real_iot_validation_inputs,real,0.43708057,0,NONE,mid_soc
iot_0022,EXTENDED,real_iot_validation_inputs,real,0.83894416,0,NONE,high_soc
iot_0023,EXTENDED,real_iot_validation_inputs,real,0.12278022,0,NONE,low_soc
iot_0024,EXTENDED,real_iot_validation_inputs,real,0.31287333,0,NONE,mid_soc
iot_0025,EXTENDED,real_iot_validation_inputs,real,0.09359281,0,NONE,low_soc
iot_0026,EXTENDED,real_iot_validation_inputs,real,0.12217683,0,NONE,low_soc
iot_0027,EXTENDED,real_iot_validation_inputs,real,0.71391428,0,NONE,high_soc
iot_0028,EXTENDED,real_iot_validation_inputs,real,0.73425886,0,NONE,high_soc
iot_0029,EXTENDED,real_iot_validation_inputs,real,0.75526064,0,NONE,high_soc
iot_0030,EXTENDED,real_iot_validation_inputs,real,0.52294825,0,NONE,mid_soc
iot_0031,EXTENDED,real_iot_validation_inputs,real,0.86918646,0,NONE,high_soc
